,Attribution,Change_percent,Change_percent_20_days,Change_percent_251_days,Change_percent_5_days,Company Name,Market Cap,Price,Sector,Summary
FRAS,,0.48,8.871662360034453,-23.76357056694813,1.0391686650679457,Frasers Group Plc,$2.8B,632.0,Consumer Cyclical,"Frasers Group PLC is a retailer of sports, fitness, fashion, and lifestyle products with brands like Sports Direct, Flannels, and House of Fraser.
"
CHG,,0.49,-5.546995377503852,-11.114769160975818,-2.8526148969889067,Chemring Group PLC,$849.3M,306.5,Industrials,"Chemring Group PLC is a global business providing advanced technology products and services to the aerospace, defence and security markets.
"
JMAT,,0.49,10.667689946277822,-5.202229013122416,1.5492957746478873,Johnson Matthey Plc,$2.4B,1442.0,Basic Materials,"Johnson Matthey is a specialty chemicals and sustainable technologies company focused on transforming energy, reducing emissions, and advanced metals chemistry.
"
MWY,,0.49,2.608695652173913,8.941335329074754,1.3496932515337423,Mid Wynd International Inv Tr Ord,$370.2M,826.0,,"Mid Wynd International Investment Trust aims for capital and income growth by investing globally in high-quality companies.
"
JGGI,,0.5,3.395585738539898,18.5523289904312,1.669449081803005,JPMorgan Global Growth & Income Ord,$3.1B,609.0,,"JPMorgan Global Growth & Income Ord aims to provide superior total returns by investing in companies worldwide, outperforming the MSCI All Country World Index over the long term.
"
ATG,,0.51,10.526315789473683,1.7301038062283738,-1.6722408026755853,Auction Technology Group plc,$739.2M,588.0,Technology,"Auction Technology Group (ATG) operates online marketplaces and auction services, connecting bidders to auction houses globally for items in Industrial & Commercial and Art & Antiques sectors.
"
WG,,0.51,11.05730290992739,-54.37665874821875,2.609987872619949,John Wood Group PLC,$485.0M,68.8,Energy,"John Wood Group PLC is a global consulting and engineering company providing project, engineering, and technical services across various industries.
"
PPET,,0.53,2.9197080291970803,11.850398039738188,0.7142857142857143,Patria Private Equity Trust,$846.9M,564.0,,"Patria Private Equity Trust invests in a diversified portfolio of private equity funds and direct investments in private companies, primarily with a European focus.
"
FSFL,,0.53,11.320355998168626,-2.835098657547261,7.648727539078225,Foresight Solar Ord,$413.0M,76.0,,"Foresight Solar Fund invests in ground-based solar power plants and battery storage assets, primarily in the UK, aiming to provide sustainable returns and facilitate the transition to a lower carbon economy.
"
JTC,,0.53,0.7376185458377239,26.049563070515745,-1.3415892672858616,JTC PLC,$1.6B,956.0,Financial Services,"JTC PLC is a global professional services business providing fund, corporate, and private client services to institutional and private clients.
"
RICA,,0.54,4.859813084112149,7.246575000414218,1.6304347826086956,Ruffer Investment Company Ord,$910.1M,280.5,,"Ruffer Investment Company is a British investment company focused on investments in internationally listed equities and related securities, aiming for positive annual returns and capital preservation.
"
INVP,,0.57,1.9175455417066156,12.659149670843039,6.555736368743393,Investec Group,$3.3B,531.5,Financial Services,"Investec Group is an Anglo-South African international banking and wealth management group providing financial products and services in Europe, Southern Africa, and Asia-Pacific.
"
AO,,0.6,5.219203328773214,15.59633432078,3.067481446452024,AO World plc,$578.9M,100.8,Consumer Cyclical,"AO World PLC is a UK-based online retailer of domestic appliances and electrical products, also offering installation, recycling, and product protection services.
"
ROR,,0.6,9.713172553038227,9.20611887246409,-1.232390828464513,Rotork plc,$2.9B,336.6,Industrials,"Rotork plc is a UK-based company that designs and manufactures industrial flow control equipment, including actuators and related products, for various markets like oil & gas, water, and power.
"
PIN,,0.62,1.8927444794952681,2.3771790808240887,0.46656298600311047,Pantheon International Ord,$1.5B,323.0,,"Pantheon International Plc (PIP) is a FTSE 250 investment trust providing exposure to a diversified portfolio of global private equity assets.
"
DSCV,,0.67,-1.9448946515397085,-15.661635740478333,-1.3050570962479608,discoverIE Group plc,$592.7M,605.0,Technology,"discoverIE Group plc designs and manufactures customized electronic components for industrial applications.
"
BUT,,0.71,4.014598540145985,21.39652172592793,1.7857142857142856,Brunner Ord,$619.1M,1425.0,,"Brunner Ord is a UK-based investment company aiming for long-term growth in capital and dividends by investing in a global portfolio of equities.
"
NBPE,,0.75,3.76497185699694,4.438493462056113,1.6666666666666607,NB Private Equity Partners Class A Ord,$673.0M,1561.6,,"NB Private Equity Partners is a closed-ended investment company that invests in direct private equity, co-investing alongside private equity sponsors.
"
PAG,,0.76,17.49710625928334,30.975657551719475,3.9368878900627555,Paragon Banking Group PLC,$1.5B,791.0,Financial Services,"Paragon Banking Group PLC is a UK specialist bank providing mortgages for landlords, business loans, savings accounts, and asset finance.
"
DOCS,,0.82,9.573173280417581,-18.948306298481562,0.3210027483921507,Dr. Martens plc,$711.8M,71.88,Consumer Cyclical,"Dr. Martens plc designs, develops, markets, and distributes footwear (including boots, shoes, and sandals) and accessories under the Dr. Martens brand.
"
HICL,,0.86,6.159418822586797,2.4083965928840447,4.642857142857145,HICL Infrastructure PLC Ord,$2.4B,117.2,,"HICL Infrastructure PLC is a UK-based investment company focused on long-term infrastructure assets, aiming to provide sustainable income and capital growth.
"
BBOX,,0.88,14.340789120589035,2.8686380055971945,2.275862068965525,Tritax Big Box Ord,$3.8B,148.3,,"Tritax Big Box REIT is a British real estate investment trust (REIT) that invests in large distribution centers and warehouse properties crucial for the UK supply chain.
"
BMY,,0.93,7.236842105263158,28.5992881536652,-0.6097560975609756,Bloomsbury Publishing Plc,$535.9M,652.0,Communication Services,"Bloomsbury Publishing Plc is a global publisher of fiction, non-fiction, academic, and educational books for a wide range of audiences.
"
PETS,,0.98,13.713711976843292,-17.301939373258264,1.3380923695776714,Pets at Home Group Plc,$1.0B,227.2,Consumer Cyclical,"Pets at Home Group Plc is a UK-based pet care business offering pet food, accessories, grooming, and veterinary services through retail stores and online channels.
"
NAS,,1.1,1.3736263736263736,0.23088415048214042,2.21606648199446,North Atlantic Smaller Cos Ord,$490.5M,3690.0,,"North Atlantic Smaller Companies Investment Trust PLC aims for capital appreciation by investing in smaller, listed and unquoted companies, primarily in countries bordering the North Atlantic Ocean.
"
NCC,,1.12,5.994149682247994,22.698979339855395,3.8681903011380916,NCC Group plc,$433.0M,145.0,Technology,"NCC Group is a global cyber security and software escrow business, delivering cyber resilience solutions.
"
PNN,,1.2,-6.3271981714601075,-26.314916450907262,0.2649006622516531,Pennon Group Plc,$2.2B,454.2,Utilities,"Pennon Group PLC is an environmental infrastructure company providing clean water and wastewater services in the UK, primarily through South West Water and other subsidiaries.
"
FOUR,,1.23,19.33815925542916,10.183448556873529,-0.3454231433506045,4imprint Group plc,$1.6B,5770.0,Communication Services,"4imprint Group plc is a direct marketer and distributor of promotional products like apparel, stationery, and technology, primarily in North America and the UK & Ireland.
"
PAGE,,1.3,9.048567313441007,-23.933398111646774,0.183370345533217,PageGroup plc,$1.1B,327.8,Industrials,"PageGroup plc is a UK-based recruitment consultancy offering services and career opportunities through brands like Michael Page and Page Executive.
"
QQ,,1.42,-8.538995845180981,1.0016712430258894,1.6456373549211916,QinetiQ Group plc,$2.0B,370.6,Industrials,"QinetiQ Group plc is a global defense and security company providing technology and services primarily in the defense, security, and critical national infrastructure markets.
"
TRN,,1.53,-8.664626510023249,11.028504818241714,0.11173184357541266,Trainline Plc,$1.6B,358.4,Consumer Cyclical,"Trainline Plc is a UK-based independent rail and coach travel platform, selling tickets worldwide.
"
ALFA,,1.8,17.717121588089324,34.13998272806785,6.846846846846842,Alfa Financial Software Holdings PLC,$663.7M,237.2,Technology,"Alfa Financial Software Holdings PLC provides software and services, including its Alfa Systems platform, to the auto and equipment finance industry globally.
"
GNC,,1.91,25.589618121826675,110.25653654761838,10.9375,Greencore Group plc,$928.8M,213.0,Consumer Defensive,"Greencore Group plc is a UK-based convenience food manufacturer, supplying chilled and frozen foods like sandwiches, salads, and ready meals to major retailers.
"
BGEO,,1.94,11.409395973154362,46.27151092758205,6.981740064446831,Bank of Georgia Group PLC,$2.0B,4980.0,Financial Services,"Bank of Georgia Group PLC is a UK-based holding company providing banking and financial services in Georgia and Armenia through its subsidiaries.
"
RS1,,1.96,2.9272151898734178,-13.560594411061864,1.7996870109546166,RS Group plc,$3.1B,650.5,Industrials,"RS Group plc is a global distributor of industrial and electrical products and service solutions, offering over 600,000 products to over 1 million customers.
"
STEM,,1.98,-4.104477611940299,-36.963158141752984,0.5870841487279843,SThree plc,$345.2M,257.0,Industrials,"SThree plc is a global specialist talent partner focused on providing permanent and flexible contract talent for roles in Science, Technology, Engineering and Mathematics (STEM).
"
BAB,"On February 11, 2025, Babcock International Group PLC experienced a stock change of varying percentages depending on the source. One source indicates a rise of 1.34% at 10:31 [5], while another shows an increase of 11% during trading on February 9, 2025, reaching a high of GBX 610 ($7.57) [13]. However, the stock change you specified (2.18%) was not found in the provided search results.

Here's what contributed to positive sentiment around Babcock International Group PLC:

*   **Investment Bank Upgrade:** Citi raised its price target for Babcock International PLC to £7.30 from £6.60, maintaining a ""buy"" rating. They cited the company's continued strong performance and ongoing operational turnaround [3].
*   **Financial Targets:** Citi projects £4.9 billion in revenue for the 2025 financial year, aligning with Babcock's forecasts, and anticipates an operating margin of around 7%, resulting in £350 million in earnings before interest and tax (EBIT) [3].
*   **Efficiency and Profitability:** Babcock has focused on improving efficiency and driving higher profitability, with global defense spending increasing, positioning the company to benefit from higher demand for military support services [3].
*   **Revenue and Earnings Growth:** Babcock's shares hit a four-year high due to forecast-beating first-half results, with revenue and profit exceeding estimates. The company is sticking to its targets, with 90% of expected full-year revenue already under contract [6].
*   **Cutting-edge Capability:** The company unveiled the latest investment at its Rosyth manufacturing facility, featuring a 5M vertical Computer Numerically Controlled (CNC) 7 axis milling machine. This £5 million investment enables precise machining of large complex submarine components [2].
*   **Analyst Consensus:** The consensus rating for Babcock International is a ""Strong Buy,"" with an average price target of p705.00, suggesting an 18.29% upside from current levels [4].

",2.18,25.360233697563377,32.11588470160585,12.051517939282428,Babcock International Group PLC,$3.0B,609.0,Industrials,"Babcock International Group PLC is a British engineering company specializing in defence, aerospace, and nuclear engineering, providing support services and managing complex assets.
"
GCP,"On February 11, 2025, GCP Infrastructure Investment Ord experienced a stock price change of 2.67%. The stock closed at a selling price of 76.90p and a buying price of 77.20p, a change of 2.00p.

A stock's price is influenced by supply and demand. If more people want to buy a stock (demand) than sell it (supply), the price moves up. Conversely, if more people want to sell a stock than buy it, there would be greater supply than demand, and the price would fall.

Other factors that can influence stock prices include:

*   **Company Performance:** Earnings reports and overall financial health affect investor confidence.
*   **News and Events:** Media mentions, social media discussions, and significant events can impact stock prices.
*   **Company-Level Factors:** Changes in leadership, new strategies, or product launches can drive price changes.
*   **Shareholder Meetings:** Important announcements and decisions are often made at these meetings. GCP Infrastructure Investments Ltd had their AGM scheduled for February 13, 2025.
*   **Transaction in Own Shares:** GCP Infrastructure Investments Limited announced on February 10, 2025, that it repurchased 500,000 of its own ordinary shares.

",2.77,13.657523429771881,20.972042884061754,10.016680060719704,GCP Infrastructure Investment Ord,$630.4M,77.08,,"GCP Infrastructure Investments is a Jersey-based investment company focused on UK infrastructure debt and similar assets, aiming to provide long-term dividend income and preserve capital.
"
TBCG,"On February 11, 2025, TBC Bank Group PLC experienced a stock change of 2.78%. To understand the reasons behind this change, here's a breakdown of potentially relevant factors:

*   **Overallotment and Stabilization:** A pre-stabilization notice indicates that the stabilization manager(s) may over-allot the securities or effect transactions to support the market price, but there is no assurance of any stabilization action.
*   **Loan Agreement:** The Black Sea Trade and Development Bank (BSTDB) extended a GEL 135 million local-currency loan to TBC Bank Georgia, which could boost local-currency financing opportunities for private companies.
*   **Q4 2024 Results:** TBC Bank Group PLC is expected to report its Q4, 2024 results on February 12, 2025.
*   **Market Performance:** TBC Bank Group PLC shares hit a new 52-week high on February 10, 2025.

",2.78,22.92358803986711,52.632977271633166,9.62962962962963,TBC Bank Group PLC,$1.9B,3700.0,Financial Services,"TBC Bank Group PLC is a UK-based parent company of JSC TBC Bank, a leading universal banking group in Georgia, and also provides digital financial services in Uzbekistan.
"
PRSR,"On February 11, 2025, PRS REIT Ord experienced a stock change of approximately 3.3% to 3.85%. Several factors contributed to this change:

*   **Increased Interim Dividend:** PRS REIT PLC declared an increased interim dividend of 1.1 pence per share for the second quarter, a 10% increase from the previous year. This reflects the company's strong rental and earnings growth.
*   **Takeover Proposals:** The company has received ""several"" non-binding takeover proposals. These proposals generally represent a premium to the then-current stock price but a discount to the net asset value.

These factors have sparked investor interest, leading to the increase in the stock price.
",3.3,6.818183361662997,51.95497874366225,3.8674047743009368,PRS REIT Ord,$616.6M,112.8,,"PRS REIT invests in newly constructed UK residential rental homes, targeting the family market, to provide investors with income and capital growth.
"
FSG,"Based on the search results, here's what happened with Foresight Group Holdings Limited and some factors that may have influenced its stock price:

*   **Stock Information:** As of the last trade, Foresight Group Holdings Ltd (FSG:LSE) traded at 383.31, which is 7.97% above its 52-week low of 355.00, set on January 14, 2025.
*   **Share Buyback Program:** Foresight Group Holdings Ltd. has been actively purchasing its own ordinary shares as part of an ongoing share buyback program. Recently, they bought 23,896 shares. This is part of a larger initiative where they've acquired over three million shares. Some of these shares are used to facilitate option exercises under the Performance Share Plan.
*   **Executive Share Purchases:**  Recently (around February 9, 2025), Bernard Fairman, the Co-Founder & Executive Chairman, invested a significant amount (UK£1.6m) to purchase shares.
*   **Company Overview:** Foresight Group Holdings Limited is an infrastructure and private equity investment manager. They operate in segments like Infrastructure, Private Equity, and Foresight Capital Management.
*   **Other Factors:**
    *   The company is a constituent of the FTSE 250 Index.
    *   Foresight is focused on clean energy generation and associated infrastructure.
    *   Year-to-date price performance shows a decline of 3.42%.

It appears the recent stock price change can be attributed to the company's ongoing share buyback program. Share buybacks can sometimes increase investor confidence.
",3.34,15.550447557527916,-1.5006994091493797,0.5,Foresight Group Holdings Limited,$465.8M,402.0,Financial Services,"Foresight Group Holdings Limited is an infrastructure and private equity investment manager, operating through Infrastructure, Private Equity, and Foresight Capital Management segments.
"
XPS,,,,,,XPS Pensions Group plc,$733.7M,,Consumer Cyclical,"XPS Pensions Group PLC is a UK-based pensions consulting and administration business, providing services to over 1,400 pension schemes.
"
